programming,data_analysis,machine_learning,web_dev,database,cloud,communication,project_management,design,networking,cybersecurity,math,statistics,career
4,5,3,1,3,1,9,5,7,4,1,6,4,UX/UI Designer
4,2,2,5,5,4,8,6,8,2,1,4,6,UX/UI Designer
3,6,1,2,4,1,10,6,10,2,1,4,6,UX/UI Designer
5,6,3,4,3,5,10,9,10,1,1,3,5,UX/UI Designer
4,3,1,5,4,3,10,9,10,3,1,4,6,UX/UI Designer
3,3,1,5,1,4,6,9,7,1,1,5,2,UX/UI Designer
4,4,4,5,5,4,7,8,8,4,1,2,5,UX/UI Designer
3,2,2,3,2,1,8,6,10,1,2,3,5,UX/UI Designer
2,5,1,3,1,3,10,7,8,3,3,2,6,UX/UI Designer
2,5,3,4,4,4,9,5,7,3,1,4,4,UX/UI Designer
2,2,1,1,4,4,7,8,10,1,1,2,3,UX/UI Designer
4,5,1,3,3,3,8,7,9,2,1,2,2,UX/UI Designer
4,4,2,4,4,4,8,8,9,1,2,2,2,UX/UI Designer
4,3,3,5,5,4,9,8,8,4,1,4,6,UX/UI Designer
3,6,3,4,5,2,10,8,8,1,1,4,3,UX/UI Designer
5,4,1,3,4,2,10,8,5,2,1,5,6,Product Manager
2,3,4,2,6,4,8,9,4,5,2,4,4,Product Manager
2,4,1,1,2,4,7,10,2,1,2,1,3,Product Manager
5,1,3,2,5,4,7,10,6,2,1,3,2,Product Manager
6,4,4,2,3,5,10,8,6,4,2,4,4,Product Manager
6,1,3,4,2,5,7,9,2,1,1,2,4,Product Manager
4,3,4,4,6,1,8,8,3,3,1,3,4,Product Manager
4,2,3,4,4,1,10,7,3,5,4,4,6,Product Manager
6,2,3,1,3,3,7,9,5,2,4,3,4,Product Manager
5,5,2,5,5,1,10,10,5,2,2,1,2,Product Manager
4,2,1,2,2,1,9,10,3,5,1,1,2,Product Manager
2,3,1,2,5,4,7,9,2,2,1,1,6,Product Manager
4,4,3,1,6,2,10,10,3,5,4,3,6,Product Manager
3,4,2,1,4,4,8,9,5,2,1,2,4,Product Manager
3,5,3,2,3,1,8,10,4,3,1,4,6,Product Manager
4,3,1,4,6,3,10,10,3,5,3,1,4,Product Manager
6,5,1,5,3,2,10,10,6,3,1,2,2,Product Manager
5,4,4,4,2,5,10,8,6,3,1,2,6,Product Manager
6,3,1,3,2,1,7,7,4,1,1,5,4,Product Manager
6,2,1,5,5,1,7,8,3,3,1,2,5,Product Manager
6,5,3,5,5,4,9,10,6,4,1,4,4,Product Manager
3,4,2,2,2,3,7,9,2,2,2,4,6,Product Manager
5,1,1,2,5,4,8,10,2,4,3,5,3,Product Manager
3,4,3,4,4,1,10,10,4,3,1,5,5,Product Manager
2,1,4,1,5,4,9,9,4,3,1,5,4,Product Manager
2,2,1,5,5,2,10,7,4,1,1,5,6,Product Manager
4,3,1,2,5,1,7,9,6,5,1,2,5,Product Manager
6,5,3,4,2,3,7,10,5,4,3,3,6,Product Manager
6,2,2,1,4,5,8,7,4,1,2,4,4,Product Manager
2,5,2,1,5,2,10,10,2,4,1,5,2,Product Manager
4,4,2,5,5,4,9,7,3,4,2,5,6,Product Manager
5,2,1,3,6,3,10,9,6,3,2,3,2,Product Manager
6,4,1,4,5,4,9,10,5,4,1,4,3,Product Manager
5,4,1,2,4,2,10,7,3,4,1,5,4,Product Manager
4,3,1,5,5,5,8,8,2,4,1,3,3,Product Manager
5,5,1,1,6,2,8,8,5,4,1,1,2,Product Manager
3,3,3,2,3,1,8,10,4,4,3,4,4,Product Manager
5,3,2,5,3,4,8,10,5,2,1,1,2,Product Manager
3,2,3,5,6,4,9,7,5,1,1,2,5,Product Manager
4,4,1,4,3,2,7,8,5,4,2,4,3,Product Manager
3,3,4,4,2,5,7,7,5,3,4,4,4,Product Manager
5,4,4,2,2,2,10,7,2,2,2,3,2,Product Manager
6,1,1,4,2,1,9,10,5,4,4,3,3,Product Manager
6,3,4,4,3,2,7,9,6,1,1,2,2,Product Manager
4,2,4,5,5,3,10,7,2,3,1,5,4,Product Manager
4,2,2,2,3,3,9,9,5,2,4,4,4,Product Manager
3,4,1,2,2,1,7,8,4,1,2,4,3,Product Manager
2,2,1,3,5,2,7,10,2,3,1,2,3,Product Manager
6,4,1,4,3,4,8,10,6,1,4,4,5,Product Manager
5,3,1,2,3,3,7,7,6,2,4,2,2,Product Manager
6,4,3,3,4,3,7,10,2,1,1,4,2,Product Manager
4,1,4,4,3,3,9,7,6,2,4,5,6,Product Manager
6,3,1,4,2,2,9,10,6,3,3,5,6,Product Manager
5,3,4,2,5,1,10,10,5,2,1,1,2,Product Manager
6,5,3,2,3,2,10,8,2,3,2,5,3,Product Manager
5,2,1,4,5,2,9,10,5,2,4,4,6,Product Manager
5,5,2,1,6,3,9,10,2,1,1,5,6,Product Manager
3,2,3,4,5,4,9,10,4,2,2,2,2,Product Manager
2,4,4,2,4,5,7,8,6,3,4,1,4,Product Manager
6,5,2,5,3,2,10,9,2,3,2,4,5,Product Manager
5,5,2,1,5,1,9,9,2,2,4,5,6,Product Manager
3,4,2,5,4,1,10,7,6,4,1,4,5,Product Manager
2,3,4,4,5,5,10,10,6,1,1,4,3,Product Manager
6,2,3,4,4,2,7,10,3,5,1,4,4,Product Manager
3,3,3,2,5,3,10,9,4,1,4,2,2,Product Manager
2,1,1,4,6,5,10,8,6,4,1,2,3,Product Manager
5,5,1,5,3,4,10,8,4,4,1,1,3,Product Manager
5,1,1,5,2,3,8,10,3,1,1,4,2,Product Manager
4,2,1,1,6,1,8,7,3,5,3,4,3,Product Manager
6,3,2,2,6,3,8,8,2,4,3,2,2,Product Manager
5,4,1,1,2,4,7,10,3,5,3,3,4,Product Manager
3,5,2,3,5,1,9,10,5,3,1,1,5,Product Manager
2,2,4,1,4,1,9,7,4,5,1,3,5,Product Manager
6,5,1,1,4,1,7,10,5,1,1,2,6,Product Manager
2,5,1,2,4,2,9,9,4,2,1,3,4,Product Manager
5,4,3,5,5,1,9,7,2,4,3,5,6,Product Manager
4,5,3,3,4,3,7,8,6,5,1,4,2,Product Manager
2,3,1,1,2,5,10,10,6,5,1,2,6,Product Manager
2,5,4,3,6,5,9,9,2,2,1,4,3,Product Manager
3,1,1,4,6,1,7,7,2,1,3,1,5,Product Manager
6,2,2,6,3,4,9,9,2,6,4,2,6,Software Project Manager
5,5,3,6,6,2,8,7,1,5,3,2,6,Software Project Manager
5,4,2,3,4,5,8,8,5,2,1,5,3,Software Project Manager
9,2,1,3,5,5,7,8,3,2,3,4,2,Software Project Manager
8,3,4,6,7,6,8,9,5,2,1,4,6,Software Project Manager
5,6,2,5,4,2,8,6,1,5,4,5,2,Software Project Manager
9,4,1,7,3,6,6,9,3,3,3,5,2,Software Project Manager
9,4,3,5,4,2,6,6,5,2,1,6,2,Software Project Manager
9,2,1,4,4,4,9,7,4,5,3,6,3,Software Project Manager
7,5,1,5,5,3,5,7,5,2,4,4,5,Software Project Manager
5,4,3,6,7,2,5,6,4,4,2,4,6,Software Project Manager
5,3,3,5,3,5,5,7,3,6,3,4,6,Software Project Manager
8,5,4,5,7,6,6,9,1,6,1,5,3,Software Project Manager
8,2,3,5,7,3,6,9,1,3,4,6,5,Software Project Manager
8,2,4,5,6,5,5,10,5,6,1,4,3,Software Project Manager
5,2,1,7,4,5,8,10,2,2,4,6,4,Software Project Manager
5,4,3,7,3,5,6,9,5,3,3,2,4,Software Project Manager
7,5,2,3,5,2,8,8,5,6,1,4,3,Software Project Manager
5,2,4,4,4,4,7,10,1,4,2,4,3,Software Project Manager
7,4,2,6,3,4,6,9,4,2,3,4,5,Software Project Manager
9,4,2,6,6,4,7,7,5,6,4,6,3,Software Project Manager
6,3,3,6,3,4,5,8,2,4,5,6,4,Software Project Manager
8,5,4,5,7,5,7,10,5,3,4,5,6,Software Project Manager
5,2,2,5,4,6,5,7,4,2,2,5,6,Software Project Manager
8,4,1,4,5,5,5,6,1,4,4,4,4,Software Project Manager
9,4,1,4,3,6,7,8,5,2,3,6,5,Software Project Manager
8,3,1,3,3,5,5,10,4,3,5,4,2,Software Project Manager
7,2,4,5,7,2,9,7,2,5,5,5,4,Software Project Manager
9,2,1,3,5,6,9,10,5,6,3,3,5,Software Project Manager
9,3,4,6,6,3,7,7,1,5,5,3,6,Software Project Manager
8,5,1,6,7,5,7,9,1,4,4,6,2,Software Project Manager
6,6,3,3,5,3,7,9,2,2,4,2,6,Software Project Manager
7,3,1,4,7,2,9,7,2,6,4,6,2,Software Project Manager
6,2,1,5,4,2,6,7,1,5,2,4,5,Software Project Manager
9,3,4,7,5,3,5,6,2,6,4,6,5,Software Project Manager
9,3,4,7,6,2,7,6,5,2,4,3,6,Software Project Manager
6,3,2,3,3,3,7,6,5,6,5,4,6,Software Project Manager
7,3,1,6,7,2,5,6,4,2,3,5,3,Software Project Manager
5,6,4,6,5,6,9,8,5,2,3,2,5,Software Project Manager
9,4,2,6,5,5,9,6,3,3,3,3,5,Software Project Manager
9,2,1,4,3,3,8,8,3,4,4,6,6,Software Project Manager
5,5,3,4,6,4,8,8,4,5,4,2,6,Software Project Manager
6,3,4,7,7,2,8,8,5,3,4,4,3,Software Project Manager
5,3,3,7,6,3,7,6,5,4,3,4,5,Software Project Manager
7,2,1,6,5,6,6,6,4,2,3,2,5,Software Project Manager
7,5,1,7,6,4,8,8,2,4,3,4,4,Software Project Manager
7,2,1,6,7,3,9,8,4,2,1,2,6,Software Project Manager
5,2,3,6,6,4,6,10,4,2,1,2,2,Software Project Manager
9,6,3,4,7,4,5,9,5,3,1,6,2,Software Project Manager
9,2,1,5,6,6,5,8,1,4,5,4,5,Software Project Manager
5,5,4,7,7,2,5,7,5,4,4,4,2,Software Project Manager
5,2,4,4,7,6,5,6,5,2,4,6,5,Software Project Manager
6,4,1,5,4,4,5,8,3,5,4,6,5,Software Project Manager
7,2,1,6,5,4,8,7,5,3,4,4,6,Software Project Manager
6,6,1,3,3,2,8,7,1,2,2,5,6,Software Project Manager
9,3,3,7,7,4,5,9,5,5,5,6,2,Software Project Manager
7,4,1,7,7,3,6,9,2,4,4,3,3,Software Project Manager
9,4,1,6,7,2,8,9,4,4,3,4,4,Software Project Manager
9,6,1,4,7,4,8,10,4,6,3,6,5,Software Project Manager
6,5,4,6,3,4,9,10,4,5,5,2,6,Software Project Manager
9,4,2,4,6,5,5,8,5,4,1,2,5,Software Project Manager
5,2,1,4,6,6,5,6,4,3,5,4,5,Software Project Manager
8,3,2,5,6,3,6,9,4,6,1,6,4,Software Project Manager
7,6,4,5,4,6,9,9,2,6,1,2,6,Software Project Manager
9,2,1,4,7,4,7,9,2,5,5,5,2,Software Project Manager
5,3,1,3,5,6,8,9,4,6,1,3,6,Software Project Manager
7,5,3,5,5,6,8,9,2,4,1,4,4,Software Project Manager
6,5,1,4,6,5,9,10,5,4,4,6,2,Software Project Manager
7,5,4,4,3,3,8,9,3,6,2,4,6,Software Project Manager
5,5,1,6,7,2,9,9,3,5,4,6,6,Software Project Manager
5,4,4,7,5,3,9,8,3,2,2,5,2,Software Project Manager
8,5,1,3,3,2,7,6,1,2,3,2,5,Software Project Manager
8,2,1,4,4,5,5,7,2,3,4,5,3,Software Project Manager
5,5,1,4,6,6,8,9,3,6,2,6,5,Software Project Manager
5,5,1,6,5,6,8,10,4,4,3,6,6,Software Project Manager
8,3,3,3,6,5,7,9,3,5,1,2,3,Software Project Manager
5,5,1,4,3,2,6,8,4,3,4,3,5,Software Project Manager
8,2,2,3,6,2,5,8,1,6,1,2,3,Software Project Manager
5,3,4,4,6,4,8,9,2,5,1,4,6,Software Project Manager
5,6,3,7,4,2,9,7,2,2,5,2,2,Software Project Manager
7,2,4,1,7,2,2,2,2,8,4,5,3,Network Engineer
9,3,3,4,9,5,2,1,4,9,5,4,3,Network Engineer
8,2,1,1,6,3,5,2,4,8,5,4,2,Network Engineer
8,4,1,1,9,4,2,3,1,10,1,5,3,Network Engineer
7,4,1,1,9,6,3,1,2,10,3,4,1,Network Engineer
10,4,3,3,6,6,1,2,3,7,2,6,1,Network Engineer
7,1,1,1,9,4,5,1,4,8,1,7,3,Network Engineer
10,1,2,1,9,2,5,3,4,9,4,5,1,Network Engineer
9,1,4,1,7,3,5,1,2,10,5,3,3,Network Engineer
8,3,1,3,7,3,4,4,2,7,4,4,3,Network Engineer
8,3,4,1,8,6,3,4,4,7,3,4,4,Network Engineer
7,2,1,1,9,4,5,1,1,10,3,7,3,Network Engineer
10,3,1,4,5,4,3,4,3,9,1,4,4,Network Engineer
10,1,1,4,5,6,2,5,1,8,2,6,1,Network Engineer
10,1,4,2,9,2,5,2,1,10,1,6,2,Network Engineer
9,1,2,2,6,3,5,4,3,10,4,3,1,Network Engineer
9,3,3,4,8,4,1,5,1,7,1,5,4,Network Engineer
10,4,1,1,5,3,4,2,1,10,2,7,2,Network Engineer
9,3,1,1,7,3,2,2,4,10,2,3,5,Network Engineer
10,3,1,1,5,6,4,1,4,10,2,6,5,Network Engineer
8,2,1,2,7,4,1,3,3,10,3,6,3,Network Engineer
9,4,2,2,8,6,2,5,1,8,5,6,5,Network Engineer
10,1,3,1,6,5,1,1,2,8,3,3,3,Network Engineer
10,4,1,2,8,6,4,1,3,7,1,6,1,Network Engineer
7,1,1,2,6,4,1,1,3,10,5,3,4,Network Engineer
10,1,1,2,7,6,3,5,2,10,4,3,1,Network Engineer
10,4,4,2,5,3,3,3,1,9,3,7,4,Network Engineer
9,4,1,1,8,5,3,2,1,10,2,7,1,Network Engineer
9,3,4,4,9,6,2,5,1,10,3,3,5,Network Engineer
10,1,2,1,7,5,2,4,3,10,4,6,1,Network Engineer
8,2,1,1,5,3,3,5,1,9,5,6,5,Network Engineer
7,2,1,2,7,3,2,4,3,9,3,6,1,Network Engineer
7,4,1,3,7,3,1,2,4,7,1,5,1,Network Engineer
9,3,1,3,6,4,1,4,3,8,4,3,3,Network Engineer
7,2,2,1,6,6,5,1,3,10,2,6,3,Network Engineer
10,1,1,2,7,2,1,4,1,10,1,7,4,Network Engineer
9,3,1,1,9,4,5,4,1,10,3,6,2,Network Engineer
7,1,3,1,7,2,2,5,1,8,4,7,3,Network Engineer
9,1,4,2,8,6,3,1,3,10,1,5,4,Network Engineer
7,1,2,1,8,6,5,2,2,9,1,3,2,Network Engineer
8,4,4,4,6,2,4,4,1,9,1,5,2,Network Engineer
9,2,2,3,7,2,1,2,4,10,2,6,2,Network Engineer
9,1,1,1,6,3,2,2,1,10,5,5,1,Network Engineer
10,3,1,1,8,4,3,4,1,8,3,6,2,Network Engineer
9,1,2,1,7,4,1,3,1,10,3,5,3,Network Engineer
9,2,2,2,7,6,4,2,4,10,1,5,5,Network Engineer
10,1,3,2,8,2,2,4,1,10,1,7,1,Network Engineer
8,1,1,1,5,4,3,3,4,7,4,4,2,Network Engineer
9,4,4,3,6,5,1,3,1,8,2,3,3,Network Engineer
8,1,4,1,5,6,4,1,3,8,2,6,4,Network Engineer
9,1,1,3,5,6,2,5,2,8,4,3,4,Network Engineer
8,1,4,2,9,5,4,1,1,7,1,4,5,Network Engineer
9,4,1,2,8,4,5,4,1,10,4,7,2,Network Engineer
10,1,3,1,9,4,1,4,1,10,5,4,2,Network Engineer
10,4,1,4,9,6,1,2,3,10,5,7,5,Network Engineer
8,1,1,3,7,4,4,2,4,10,3,4,1,Network Engineer
10,2,4,3,9,4,3,2,3,8,2,4,5,Network Engineer
10,1,4,1,9,3,2,3,3,8,5,5,2,Network Engineer
8,1,2,1,6,5,1,1,1,7,5,3,1,Network Engineer
10,2,2,4,7,2,1,5,4,8,3,4,3,Network Engineer
8,1,1,3,6,4,1,1,1,8,3,4,5,Network Engineer
10,3,2,4,9,4,1,1,2,8,4,6,3,Network Engineer
7,1,1,4,6,3,4,4,1,9,1,6,4,Network Engineer
10,3,1,3,5,3,1,4,1,7,5,4,4,Network Engineer
10,2,1,1,5,2,3,2,1,7,4,7,1,Network Engineer
8,2,4,1,5,5,3,4,1,10,2,7,1,Network Engineer
7,1,1,1,6,2,2,5,4,8,1,7,5,Network Engineer
8,3,1,3,5,3,1,3,1,8,1,5,2,Network Engineer
9,4,1,3,5,2,2,5,2,10,4,4,2,Network Engineer
9,3,1,2,8,3,1,2,2,7,3,6,5,Network Engineer
8,1,1,1,9,4,1,5,2,10,5,6,4,Network Engineer
10,3,4,1,5,4,4,2,4,9,5,3,4,Network Engineer
8,3,4,4,7,5,3,4,1,10,4,5,2,Network Engineer
10,1,1,3,9,3,2,5,1,9,1,7,4,Network Engineer
10,4,1,1,6,2,3,3,4,7,5,6,1,Network Engineer
10,2,4,3,8,2,4,3,3,10,5,5,4,Network Engineer
10,3,1,2,9,2,4,1,3,7,4,7,1,Network Engineer
7,4,1,2,6,5,4,4,4,10,4,5,2,Network Engineer
10,4,1,4,8,5,2,4,3,10,4,7,5,Network Engineer
10,4,4,1,5,6,5,5,3,9,5,3,4,Network Engineer
